,title,author,date,body,rating,seat_type,aircraft_type,seat_layout,date_flown,type_of_traveller,sleep_comfort,sitting_comfort,seat/bed_width,seat/bed_length,seat_privacy,power_supply,seat_storage,recommended,seat_legroom,seat_recline,seat_width,aisle_space,viewing_tv_screen
0,"""You are separated by a fixed divider”",Michael Kinder,2022-09-29,"✅ Trip Verified |  In September we took our first Business Class flight for a couple of years returning from Samoa on QF340. With a flight time of 6.5 hrs and late arrival into Sydney, we were looking forward to the extra comfort and service. We had seats 5E & 5F located next to each other in the center of the aircraft. The seat design is an insult to passengers travelling together, the idiot who designed these seats has no idea about the needs of travelling companions. You are separated by a fixed “divider” making it almost impossible to see each other and have any form of conversation. My wife is an anxious flyer due to an experience with an emergency landing which almost had a fatal outcome for all on board. Being separated like this made it very difficult for her, I spent half the flight on the edge of my seat leaning around the “divider” so I could talk to and console my wife who was stressed throughout the flight, very uncomfortable. Economy Class would have been so much better. There was no welcome drink or an amenities kit – where has the Qantas standard gone! For dinner we were served roast chicken that was inedible, tough and chewy! No entrée and the little dessert cake came in a paper box. After eating half of the dessert, I stopped due to a piece of the paper lining coming free and ending up in my mouth – disgusting! My wife didn’t touch her dessert. Why are we paying extra for this rubbish, had better meals in economy. While the seat and food proved to be a huge disappointment, the staff were very friendly and attentive. Being a “gold for life” Frequent Flyer, I have experienced many O/S business class flights over the past 25 years but this was the worst, never again – Qantas has totally lost the plot!! When we go to Europe next year, it will be on another airline.",2,business class,a330-300,1x2x1,september 2022,leisure,3.0,1.0,3.0,5.0,1.0,4.0,4.0,no,,,,,
1,"""private and comfortable""",B Heale,2020-01-08,"✅ Trip Verified |  The A380 has an extremely private and comfortable First Class seat. The cushioning, additional memory foam mattress for bed time and the size of the seat make travelling in First Class worth your while. The screen, lighting options, storage space, and inflight entertainment make this seat one of the best I have tried. The swivel and adjustment features if this seat are incredible.  In my short 8 hour flight I was able to try out the different massage options and my sore upper back was very grateful for that.",10,first class,a380,1x1x1,january 2020,business,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,,,,,
2,"""very comfortable for me""",Muhammad Tahir Hanif,2019-12-08,"✅ Trip Verified |  Seat was nice and wide, very comfortable for me in Both Boeing 787 & A330. Very good leg space easy to lean the seat and it was easy to sleep in long flight. They give blanket and a pillow as well for the comfort.",9,economy class,boeing 787 / a330,3x3x3 / 2x4x2,november 2019,solo leisure,,,,,,5.0,5.0,yes,5.0,4.0,4.0,4.0,5.0
3,"""seat was comfortable""",Alan Sargeant,2019-10-21,"✅ Trip Verified |  The A330-300 business class seat was comfortable, easy to operate and to make it as a bed. There was a lap/sash seatbelt (easy to adjust) which was new to me. As a bed it comfortable allowing good sleep. It was not far from the kitchen/toilets but noise from these areas was not a problem.",9,business class,a330-300,1x2x1,august 2019,leisure,5.0,5.0,5.0,5.0,4.0,,4.0,yes,,,,,
4,"""cheap out on breakfast""",Davy Adams,2019-10-20,"✅ Trip Verified |  Row 6 is sandwiched between the galley and economy. Bring your headphones and earplugs because you're going to need them. Nobody bothers with dinner because it's the middle of the night when it leaves. What irks me is Qantas cheap out totally on breakfast with a miserable bowl of muesli. When you only have one meal on a business class flight it would be reasonable to make at least a little effort. The staff were nonetheless great, and customer focused. Flight arrived on time and seats were comfortable enough to get a little sleep.",5,business class,a330-200,1x2x1,october 2019,leisure,3.0,5.0,4.0,5.0,1.0,5.0,5.0,no,,,,,
5,"""ridiculous lack of legroom""",Jason McMichael,2019-10-07,"Not Verified |  Myself, wife and son were travelling from Sydney to Denpasar. Our seats were in the 2-3-2 configuration as we were seated at the very rear of the aircraft 58 D,E & F. The first thing I noticed when I managed to ‘contort’ myself into the seat was the absolute ridiculous lack of legroom. I am a tall man and expect this to occur, however I flew to Singapore in March on the same type of aircraft in Economy and found the legroom to be significantly different in that it was slightly larger. I could extend my legs without hitting the seat in front. This was not the case however. I felt sorry for the poor person in front as I continually bumped his seat trying to get comfortable. In addition the try table was broken and I had to support it with my legs during meal service.The seat USB also wasn’t working. Entertainment screen was good, just a little unresponsive, this wasn’t an issue though. I know there is the age old ‘you can always pay the extra!’ I need to point out though, like many people this is just unaffordable plus at this point in time Qantas doesn’t have premium economy on this route on this aircraft. Extra legroom seats were also unavailable. I  choose Qantas from loyalty and have never had a bad experience with anything until now. I sincerely hope that with 20+ hour flights likely that they reconsider their Economy seats. Maybe consider removing one row.",1,economy class,a330-200,2x4x2 / 2x3x2,october 2019,family leisure,,,,,,1.0,1.0,yes,1.0,1.0,2.0,3.0,3.0
6,"""seats with just slight recline""",David Stonier-Gibson,2019-10-01,"✅ Trip Verified |  QF46 Denpasar to Melbourne. The worst flight I have ever had in an international business class flight. It started with the awful Premier lounge at DPS, continued with no fast lane for Business in the gate lounge, a cramped bus ride out on the tarmac, only to find we had seats with just slight recline, not proper lie flat seating I'd expected in a 6 hour night flight in business. The food on the plane was mediocre. The entertainment consisted of 16 movies suited to teenagers and some recycled TV series. I couldn't even find any music albums. The headset provided was not noise cancelling. I am 73, very tall and not agile, and when I needed to go to the bathroom it was almost impossible to get out of my window seat because the people in front had reclined their seats. The toilet was so cramped I couldn't even stand upright in there. The one redeeming features was that the cabin crew were nice and friendly, and up for a bit of banter.",4,business class,boeing 737,2x2,september 2019,leisure,2.0,3.0,4.0,1.0,1.0,,1.0,no,,,,,
7,"""extra aisle space next to it""",F Kee,2019-07-22,✅ Trip Verified |  Seat 54F on the A330 has extra aisle space next to it despite being in the middle of the row. Having two extra seat spaces in front of me for storage is fantastic. The comfy leather seat also has good lower-back support and the thick enough armrest is really helpful. The headrest can be better though. My favorite aspect of this Qantas plane/seat is having tablet/phone holder on usual IFE spot.,9,economy class,a330,2x4x2,july 2019,solo leisure,,,,,,4.0,5.0,yes,5.0,4.0,5.0,5.0,5.0
8,"""the most uncomfortable flight""",S Keane,2019-05-19,"✅ Trip Verified |  I flew from LAX to SYD because friends said Qantas does things right and you’ll have a great flight, even in Economy. Do not believe your friends. This was the most uncomfortable flight of my life. When we finally arrived, I felt like I was prying myself out of a sardine can. The seat pitch was so small you could not stand upright getting in or out of your seat. The best thing about the flight was the very friendly flight attendants. Next time I will fly a different airline to Sydney, business class, (as the business class on this airline is unaffordable).",2,economy class,a380,3x4x3,may 2019,solo leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,3.0
9,"""very comfortable seats""",T Peale,2019-03-03,"✅ Trip Verified |  These are very comfortable business class seats that can easily be configured to suit whatever position you wish to be in. I flew from LAX to SYD (Feb 5) and then returned from MEL to LAX (Feb 22) in row 17 in the middle seats. These are very good seats as both middle seats have access to the aisle. The window seats look like you have to climb over the person on the aisle, but it looks like there is enough room so that you do not disturb the person on the aisle. Qantas gives you pajamas to change into for a long flight that are very comfy. They also have a ""mattress"" that they lay on the seat prior to sleeping. They also provide very soft bedding so you can enjoy a very good sleep. The bathrooms are a little tight for changing, but that's a minor thing in my opinion.",8,business class,a380,2x2x2,february 2019,leisure,5.0,5.0,5.0,4.0,3.0,4.0,3.0,yes,,,,,
