,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
0,"""noticed no GF foods""",Irene Taylor,2024-05-30,"Not Verified |   I am gluten free. I went to get something to eat and noticed no GF foods, apart from salad. I asked for something gluten free, and was told they didn't have anything. I dont know how I pay a lot of money to be in business class, and my choice is rabbit food. Sick of it!",5,vancouver airport,business class,may 2024,business,3,5,4.0,1.0,5.0,4.0,3.0,no,
1,"""The lounge was pretty grim""",Tony Maddern,2023-12-21,"✅ Trip Verified |  The lounge was pretty grim, no windows to look out. Food choices were very limited. Seating was limited most likely due to the time of day. Bar is a self-serve fridge.",3,melbourne airport,frequent flyer,december 2023,,3,4,2.0,2.0,3.0,3.0,,yes,
2,"""really let their standards slip""",M Kellett,2023-09-13,"Not Verified |  Qantas have really let their standards slip. The lounge has average beverages. Same quality I can get at home, $15 bottle wines. The food is non existent. Some cubed cheese, salads, bread and soup. No actual hot food items for lunch. I used to like visiting the lounge for a meal and superior wines before a long trip. No such thing here. This cannot be the flagship Qantas lounge. It’s embarrassing compared to most other airline lounges. All I can say is the seating is okay and free drinks are okay.",3,sydney airport,business class,august 2023,business,4,3,3.0,1.0,2.0,5.0,2.0,no,business class lounge
3,"""The lounge is absolutely filthy""",O Binder,2023-07-20,"Not Verified |  The lounge is absolutely filthy, chairs and couches are all stained everywhere. Carpet hasn't been vacuumed or cleaned for a very long time. The fabric lounge seats are in disrepair. A very very poor choice of food. Actually, not much to choose from at 11:30 am, 3 old salads some grapes, stick vegetables and hummus dip. That's it. Such a disgrace, and shameful for Qantas. Better off staying downstairs, with much much more food choices.",2,sydney airport,business class,july 2023,business,2,1,,1.0,1.0,4.0,2.0,no,qantas international lounge
4,"""The lounge was filthy""",Ed Blackwell,2023-05-11,"Not Verified |  Food was poor, and a lot of the cutlery looked like it had only been rinsed - not washed properly. The lounge was filthy and most of the furniture threadbare. The carpet in some spots was disgusting. The male toilets had excess spare toilet rolls stacked up everywhere and the sink overflows were black with mould and filth. The ladies bathrooms were worse with most of the stalls out of order. One member of staff could barely speak English. Qantas should be ashamed of this. Very disappointing to be flying business class with a ticket that was paid for personally.",3,sydney airport,business class,may 2023,business,2,1,2.0,2.0,1.0,,3.0,no,
5,"""service is friendly and efficient""",G Hallam,2023-03-21,"✅ Trip Verified |  The lounge is large enough, easily accessible but very busy. The service is friendly and efficient, the food is good, drink choices and quality are great, cleanliness is great, seating is comfortable. Large windows look out onto the airport apron.",10,sydney airport,business class,february 2023,business,5,5,5.0,4.0,5.0,5.0,5.0,yes,international business lounge
6,"""not a special experience""",M Garsin,2023-03-16,✅ Trip Verified |  Crowded lounge with a limited offer of drinks and food. Nothing special to arrive early for but still better than waiting at the gate. But it's definitely not a special experience and not Qantas standard.,6,manila airport,business class,november 2022,business,3,4,3.0,3.0,,,4.0,no,pagss
7,"""very tired and poorly staffed""",C Heales,2022-10-06,"✅ Trip Verified |  This Qantas Business Class Lounge is very tired and poorly staffed. Floors are dirty. No Towels for showers (they didnt get their delivery I was advised by front desk staff with a smile) and they told me to use paper towels to dry myself off! Tap handles missing and mould throughout showers. Absolutely disgusting.  Do not visit if you do not have to. Oh and if you are coming off long haul and want a shower like me, bring your own towel, and a wrench for the tap handle.",1,sydney airport,business class,september 2022,business,2,2,4.0,2.0,1.0,,2.0,no,domestic business lounge
8,"""a pleasant environment to wait""",Caroline Casey,2022-09-12,"Not Verified |  LHR Qantas Business Lounge is a pleasant surprise.  There is a restaurant at the ground level which has a nice selection of food with table service. Although the side note is that Platinum members appear to have access to reserved tables so it can be limited options if you are not a member. The desserts were a bit more limited and are self-service. Upstairs is a bar and seating area. Not quite as high quality as the lower level and a little bit hectic, but overall it is still a pleasant environment to wait for a flight. And feels of higher quality than the lounges in Sydney.",7,london heathrow airport,business class,august 2022,business,4,4,4.0,4.0,,4.0,5.0,no,
9,"""food that is of such low standard""",Florence Ilickovic,2022-08-14,"Not Verified |  It all starts with a very abrupt and patronising welcome by the gatekeepers. It sets the tone for the rest of the experience: terrible coffee, food that is of such low standard and very, very limited options. All this in a lounge that feels dated. Really an embarrassment to Qantas.",3,brisbane airport,members,august 2022,,2,3,2.0,1.0,3.0,,1.0,no,
10,"""the experience was terrifying""",C Tan,2022-07-23,"✅ Trip Verified |  I purchased a flight ticket from the Qantas website on a China Airlines codeshare flight from Sydney to Taipei. Upon arriving at the front desk of the Qantas business class lounge, I presented my flight ticket with my flight code and Qantas membership number. I asked the front desk staff to verify my lounge reservation (as the lounge was redeem with an AMEX credit card invitation). She didn`t even notice my flight ticket and she said ""we never work with with China airline, I don't know where your ticket is from"". Eventually she probably realized she was wrong, and she let me into the lounge room. As you can see on the photo, the buffet area was messy and uncomfortable. Nothing was refilled and seem no one do cleaning. I only stayed for about 30 minutes or so. To sum it up, the experience was terrifying.",2,sydney airport,business class,july 2022,business,2,1,2.0,1.0,,,1.0,no,
11,"""Extremely poor food offering""",Andrew Morgan,2022-04-11,"✅ Trip Verified |  Overcrowded and lacking in all that you would expect from a Business Class lounge. Due to flight delays we were in the lounge for around 7 hours. Extremely poor food offering - no decent breakfast option and lunch only after 12 noon. Lunch is a generous description - if you call unappealing chilli con carne (a cheap, stingy and ""cop-out"" offering also favoured by British Airways and a universally unappealing meal choice) a decent lunchtime offering. Officious staff which I found rather a surprise - like they're doing you a favour by letting you into ""their"" lounge. So many lessons to be learnt here - of what not  to do.",3,melbourne airport,business class,april 2022,business,3,2,3.0,1.0,,3.0,1.0,no,business lounge
12,"""facilities an absolute joke""",P Huang,2020-02-11,"✅ Trip Verified |  The worst Lounge I have so far come across. The catering was below average and nothing was a standout. Usually you can always find something decent to eat but the only thing I remotely liked was the beverages, with the alcohol hidden and only given when asked. The other facilities was an absolute joke, the one shower didn't even lock. Why Qantas let its Premium passengers use this Lounge is beyond my comprehension. The Lounge team were very polite, the only highlight I can point out.",3,denpasar bali airport,pay to use,february 2020,,1,2,2.0,1.0,1.0,4.0,4.0,yes,premier lounge
13,"""a good rest before boarding""",Alan Sargeant,2019-10-21,✅ Trip Verified |  Had checked in early and went straight to the business class lounge. Easy to find and was quite spacious. It was also quite busy. There was plenty of food and a good choice of items. I had breakfast in the lounge and also connected to WiFi which was easy and the internet speed more than adequate. It was relatively quiet (no flight announcements are made) so I had quite a good rest before boarding. It was not far from the lounge to the Boarding Gate.I,8,sydney airport,business class,august 2019,business,4,5,,4.0,,4.0,5.0,yes,
14,"""The seating is ample""",Neil Jeram,2019-10-18,"✅ Trip Verified |  I used this lounge even though was flying with Cathay Pacific. It is my home lounge being a Qantas FF. Now this is a combined lounge for all grades of flyers. It is also open to the terminal so there will be some background noise occasionally from announcements. This is one of my favourite Qantas lounges and with London, Singapore and Sydney First amongst the very best out there. The seating is ample. One thing Qantas might consider is putting in some recliners in a quiet spot. I had a 6 hour stop and so a few moments kip would have been great. The food choices were great. There is a communal table and a good place to meet and chat to your fellow travellers. The showers are good, not quite like the Cathay ones but do the job. Great bar also. If a One World FF, this should be on your default list when flying through HK.",10,hong kong airport,frequent flyer,october 2019,,5,5,5.0,5.0,5.0,5.0,5.0,yes,qantas hong kong
15,"""lack of customer service""",P Huang,2019-10-16,"✅ Trip Verified |  It was not what I expected. I know the space was struggling because of overcrowding but even with the extension to the lounge due to recent renovations yet I find to be a large space with no personality. The reception seemed like a space for staff to congregate rather than a warm welcome for passengers. So much seating including 2 bars and 3 islands for a buffet spread but the options for food was so limited I would rather eat in the terminal as Changi Airport is one of the best. Staff were present, cleaning and assisting where they could but that did not save face for the lack of customer service, catering and even power plugs. Due to the disappointment my partner and I went over to the British Airways lounge and it was top notch. I would recommend the Lounge but it really needs to up it's game and with the opening of the first class Lounge, that will give a better experience to higher tier passengers.",6,singapore changi airport,frequent flyer,october 2019,,3,4,2.0,2.0,4.0,4.0,3.0,yes,
16,"""decent food offerings""",Jai Satpute,2019-09-11,Not Verified |  The business class lounge was well stocked and decent food offerings. It was clean and staff were constantly walking around checking on passengers. There were great shower facilities and amenities. The only thing missing is a great view of the apron which is obstructed. I guess if you want this you would have to visit the first class lounge one story up. Honestly one of the best parts of travelling with Qantas.,9,sydney airport,business class,october 2018,business,5,5,4.0,4.0,4.0,5.0,5.0,yes,
