title,text,rating
"""Significant delays""","['trip', 'verified', 'significant', 'delays', 'first', 'anouncement', 'made', 'boarding', 'meant', 'comence', 'departure', 'time', 'pushed', 'back', 'min', 'intervals', 'again', 'staf', 'giving', 'clear', 'reason', 'delays', 'time', 'aproach', 'staf', 'get', 'meal', 'voucher', 'compensation', 'didn', 't', 'want', 'aply', 'policy', 'automaticaly']",0
"""food quality was abysmal""","['verified', 'recently', 'flew', 'qantas', 'thoroughly', 'disapointed', 'inflight', 'dining', 'experience', 'fod', 'quality', 'abysmal', 'say', 'least', 'main', 'course', 'suposed', 'chicken', 'dish', 'dry', 'flavorles', 'overcoked', 'felt', 'like', 'chewing', 'ruber', 'side', 'vegetables', 'equaly', 'uninspiring', 'mushy', 'texture', 'seasoning', 'speak', 'of', 'desert', 'bland', 'uninspired', 'piece', 'cake', 'equaly', 'disapointing', 'tasted', 'stale', 'lacked', 'semblance', 'freshnes', 'even', 'bread', 'rol', 'hard', 'dry', 'making', 'nearly', 'inedible', 'make', 'maters', 'worse', 'meal', 'options', 'extremely', 'limited', 'decent', 'alternatives', 'pasengers', 'dietary', 'restrictions', 'overal', 'presentation', 'fod', 'unapetizing', 'portions', 'inadequate', 'longhaul', 'flight', 'ive', 'beter', 'meals', 'budget', 'airlines', 'price', 'qantas', 'ticket', 'expected', 'much', 'more', 'experience', 'definitely', 'made', 'reconsider', 'flying', 'qantas', 'future', 'ned', 'seriously', 'improve', 'inflight', 'dining', 'want', 'retain', 'customers']",0
"""wasted money on a business ticket""","['trip', 'verified', 'husband', 'went', 'auckland', 'air', 'new', 'zealand', 'busines', 'clas', 'expected', 'be', 'various', 'reasons', 'decided', 'return', 'qantas', 'big', 'mistake', 'busines', 'clas', 'diferent', 'short', 'internal', 'flight', 'within', 'australia', 'seats', 'old', 'fotrest', 'headphones', 'presed', 'ears', 'sound', 'watch', 'movies', 'qantas', 'ap', 'mobile', 'phone', 'regret', 'wasted', 'money', 'busines', 'ticket', 'never', 'bok', 'qantas', 'long', 'flight', 'positive', 'coment', 'say', 'cabin', 'crew', 'pleasant', 'helpful']",0
"""think about the food needs""","['trip', 'verified', 'traveled', 'husband', 'daughter', 'june', 'sydney', 'dili', 'timorleste', 'via', 'darwin', 'traveling', 'qantas', 'decades', 'yet', 'lunch', 'available', 'trip', 'few', 'others', 'wel', 'ham', 'sandwich', 'thousands', 'people', 'cal', 'australia', 'home', 'eat', 'ham', 'pork', 'including', 'people', 'safety', 'video', 'id', 'say', 'please', 'qantas', 'think', 'fod', 'neds', 'travelers', 'ofer', 'variety', 'cultural', 'awarenes', 'one', 'get', 'answers', 'gogle']",0
"""Another horrific flight""","['trip', 'verified', 'another', 'horific', 'flight', 'endured', 'qantas', 'hour', 'delay', 'departure', 'sydney', 'diferent', 'explanations', 'water', 'aparently', 'saturated', 'seats', 'parked', 'gate', 'captain', 'stated', 'problem', 'dor', 'caused', 'water', 'enter', 'aircraft', 'enginers', 'neded', 'careful', 'test', 'decompresion', 'risks', 'vhoqi', 'operating', 'ac', 'ground', 'staf', 'enginering', 'estimates', 'initialy', 'minute', 'delay', 'minute', 'minute', 'minute', 'we', 'dont', 'know', 'vouchers', 'handed', 'around', 'hour', 'mark', 'pasengers', 'eating', 'junk', 'snack', 'fod', 'hours', 'instead', 'proper', 'diner', 'arogant', 'ground', 'staf', 'defensive', 'argumentative', 'reasonable', 'questions', 'inviting', 'argument', 'disrespectful', 'board', 'polite', 'apologetic', 'captain', 'fod', 'shocking', 'economy', 'inedible', 'bef', 'burger', 'glutinous', 'mes', 'reconstituted', 'potato', 'mash', 'frozen', 'carots', 'peas', 'undercoked', 'bef', 'mince', 'drowned', 'gravy', 'literaly', 'disgusting', 'warm', 'best', 'served', 'hours', 'hour', 'flight', 'pm', 'midnight', 'sydney', 'time', 'female', 'first', 'oficer', 'butered', 'landing', 'singapore', 'smothest', 'aspect', 'whole', 'experience', 'singapore', 'london', 'sector', 'used', 'gate', 'single', 'security', 'lane', 'board', 'am', 'am', 'departure', 'actual', 'departure', 'am', 'quoting', 'captain', 'obviously', 'wont', 'time', 'minutes', 'late', 'manpower', 'isues', 'singapore', 'five', 'half', 'hours', 'plane', 'neded', 'fixed', 'apology', 'sounded', 'completely', 'disinterested', 'even', 'making', 'anouncement', 'bothered', 'arogance', 'thing', 'informed', 'us', 'of', 'one', 'smal', 'botle', 'water', 'given', 'whole', 'flight', 'pasengers', 'refils', 'litle', 'plastic', 'cups', 'snack', 'given', 'hour', 'singapore', 'main', 'meal', 'breakfast', 'served', 'hr', 'mins', 'landing', 'hour', 'stretch', 'nothing', 'luke', 'warm', 'hot', 'breakfast', 'petri', 'dish', 'fod', 'poisoning', 'risk', 'scrambled', 'egs', 'pork', 'sausage', 'grey', 'bacon', 'gren', 'potato', 'hash', 'browns', 'sent', 'mine', 'back', 'untouched', 'paid', 'return', 'economy', 'ticket', 'ofered', 'inedible', 'fod', 'captain', 'least', 'hit', 'touchdown', 'zone', 'demonstrating', 'one', 'important', 'basic', 'skil', 'fairnes', 'firm', 'buried', 'qantas', 'shadow', 'former', 'self', 'new', 'ceo', 'financial', 'architect', 'curent', 'service', 'model', 'return', 'trip', 'australia', 'bothering', 'ases', 'performance', 'airline', 'lost', 'trust', 'completely', 'four', 'last', 'six', 'trips', 'unaceptably', 'dismal', 'lead', 'atitudes', 'staf']",0
"""still waiting for the refund""","['verified', 'boking', 'paid', 'fare', 'qantas', 'canceled', 'flights', 'sydney', 'shanghai', 'gave', 'us', 'big', 'headache', 'pay', 'extra', 'family', 'members', 'disapointing', 'whats', 'worse', 'facing', 'financial', 'stres', 'paying', 'extra', 'top', 'air', 'fare', 'qantas', 'yet', 'refund', 'us', 'money', 'til', 'weks', 'stil', 'waiting', 'refund', 'loyal', 'customers', 'qantas', 'never', 'take', 'qantas']",0
"""Simply not acceptable""","['verified', 'it', 's', 'concerning', 'know', 'qantas', 'advise', 'flight', 'canceled', 'arive', 'check', 'counter', 'due', 'operational', 'isue', 'realy', 'means', 'flight', 'crew', 'result', 'family', 'disadvantaged', 'ned', 'home', 'work', 'metings', 'result', 'organising', 'flights', 'get', 'back', 'home', 'due', 'inconvenience', 'caused', 'think', 'qantas', 'ofered', 'reimbursement', 'costs', 'incured', 'simple', 'answer', 'no', 'qantas', 'brand', 'believe', 'it', 's', 'law', 'greatest', 'brand', 'world', 'arogance', 'plays', 'part', 'busines', 'anymore', 'consumers', 'right', 'know', 'unaceptable', 'cancel', 'flights', 'yet', 'ofer', 'compensation', 'inconvenience', 'caused', 'arogant', 'qantas', 'new', 'ceo', 'ought', 'ashamed', 'simply', 'aceptable']",0
"""I will never travel Qantas again""","['verified', 'boked', 'leg', 'rom', 'sets', 'bulk', 'head', 'boarding', 'tickets', 'isued', 'qantas', 'changes', 'worked', 'plane', 'point', 'qantas', 'ignored', 'even', 'showed', 'ticket', 'receipt', 'hapened', 'return', 'flight', 'to', 'time', 'said', 'paid', 'normal', 'price', 'seats', 'ful', 'upon', 'transfer', 'bagage', 'scaners', 'sydney', 'decided', 'wifes', 'bag', 'weight', 'kg', 'stod', 'line', 'qantas', 'counter', 'minutes', 'one', 'person', 'atended', 'masive', 'line', 'people', 'complained', 'qantas', 'lady', 'standing', 'around', 'said', 'thats', 'is', 'never', 'travel', 'qantas', 'again']",0
“service on the plane was excellent”,"['trip', 'verified', 'check', 'smoth', 'friendly', 'easy', 'departure', 'time', 'service', 'plane', 'excelenthey', 'also', 'ofered', 'tasty', 'meal', 'wine', 'ofered', 'excelenta', 'pleasant', 'way', 'finish', 'first', 'visit', 'western', 'australia']",1
"""disappointed that they changed planes""","['trip', 'verified', 'enjoyable', 'flight', 'originaly', 'boked', 'flight', 'wide', 'bodied', 'a', 'lie', 'flat', 'seats', 'disapointed', 'changed', 'planes', 'nevertheles', 'service', 'excelent', 'tasty', 'fod', 'excelent', 'wine', 'also', 'apreciated', 'aces', 'wifithe', 'plane', 'arived', 'time']",1
